timestamp,latency_ms,mode,detection_latency_ms,tracking_latency_ms,detected_state,confirmed_state,num_circles,best_color_ratio,candidates_found,detection_rate_pct
1777993937.7283,74.86,TRACKING,33.26,0.00,RED,UNKNOWN,3,0.7888,1,0.00
1777993937.7710,21.36,TRACKING,0.00,5.83,RED,UNKNOWN,3,0.6861,1,0.00
1777993937.8098,19.81,TRACKING,0.00,4.55,RED,UNKNOWN,3,0.4908,1,0.00
1777993937.8501,15.43,TRACKING,0.00,5.29,RED,UNKNOWN,3,0.3076,1,0.00
1777993937.9235,34.39,TRACKING,0.00,12.19,RED,RED,3,0.3106,1,20.00
1777993937.9804,33.86,TRACKING,0.00,6.45,RED,RED,3,0.3789,1,33.33
1777993938.0018,13.75,TRACKING,0.00,4.31,RED,RED,3,0.3681,1,42.86
1777993938.0671,31.14,TRACKING,0.00,8.58,RED,RED,3,0.3697,1,50.00
1777993938.1007,16.01,TRACKING,0.00,5.47,RED,RED,3,0.6972,1,55.56
1777993938.1533,18.17,TRACKING,0.00,7.49,RED,RED,5,0.6652,1,60.00
1777993938.2153,26.99,TRACKING,0.00,9.37,RED,RED,3,0.5616,1,63.64
1777993938.2564,17.90,TRACKING,0.00,4.17,UNKNOWN,RED,2,0.0370,1,66.67
1777993938.3304,28.55,TRACKING,0.00,9.57,RED,RED,4,0.4171,1,69.23
1777993938.3732,34.09,TRACKING,0.00,9.87,RED,RED,4,0.4167,1,71.43
1777993938.4367,36.31,TRACKING,0.00,19.64,RED,RED,5,0.5740,1,73.33
1777993938.4711,14.91,TRACKING,0.00,6.24,RED,RED,3,0.8422,1,75.00
1777993938.5153,26.17,TRACKING,0.00,11.60,RED,RED,3,0.8502,1,76.47
1777993938.5835,35.46,TRACKING,0.00,13.10,RED,RED,3,0.8082,1,77.78
1777993938.6118,23.35,TRACKING,0.00,8.92,RED,RED,3,0.8478,1,78.95
1777993938.6543,18.72,TRACKING,0.00,7.34,RED,RED,3,0.8060,1,80.00
1777993938.7212,25.03,TRACKING,0.00,5.01,RED,RED,3,0.8534,1,80.95
1777993938.7823,44.38,TRACKING,0.00,10.37,RED,RED,3,0.8534,1,81.82
1777993938.8413,36.56,TRACKING,0.00,9.77,RED,RED,3,0.8629,1,82.61
1777993938.8805,23.90,TRACKING,0.00,4.88,RED,RED,3,0.7877,1,83.33
1777993938.9183,21.13,TRACKING,0.00,9.60,RED,RED,3,0.8622,1,84.00
1777993938.9598,16.37,TRACKING,0.00,5.00,RED,RED,3,0.8781,1,84.62
1777993939.0090,18.47,TRACKING,0.00,5.51,RED,RED,3,0.8293,1,85.19
1777993939.0635,25.27,TRACKING,0.00,5.61,RED,RED,3,0.8422,1,85.71
1777993939.1231,26.66,TRACKING,0.00,10.30,RED,RED,3,0.8566,1,86.21
1777993939.1743,24.30,TRACKING,0.00,8.50,RED,RED,3,0.8286,1,86.67
1777993939.2303,32.21,TRACKING,0.00,12.56,RED,RED,3,0.8104,1,87.10
1777993939.2656,29.44,TRACKING,0.00,9.23,RED,RED,3,0.8367,1,87.50
1777993939.3102,16.88,TRACKING,0.00,5.81,RED,RED,3,0.8526,1,87.88
1777993939.3604,24.65,TRACKING,0.00,8.48,RED,RED,3,0.8518,1,88.24
1777993939.4078,20.49,TRACKING,0.00,7.36,RED,RED,3,0.8343,1,88.57
1777993939.4786,38.76,TRACKING,0.00,13.24,RED,RED,3,0.8502,1,88.89
1777993939.5161,30.15,TRACKING,0.00,13.03,RED,RED,3,0.8343,1,89.19
1777993939.5663,26.39,TRACKING,0.00,11.85,RED,RED,3,0.8550,1,89.47
1777993939.6077,19.25,TRACKING,0.00,7.27,RED,RED,3,0.8406,1,89.74
1777993939.6718,36.95,TRACKING,0.00,13.15,RED,RED,3,0.8510,1,90.00
1777993939.7130,19.66,TRACKING,0.00,6.56,RED,RED,3,0.8470,1,90.24
1777993939.8384,74.89,TRACKING,0.00,30.09,RED,RED,3,0.8023,1,90.48
1777993939.8952,39.69,TRACKING,0.00,16.40,RED,RED,3,0.8023,1,90.70
1777993939.9478,24.57,TRACKING,0.00,8.25,RED,RED,3,0.8502,1,90.91
1777993939.9928,27.77,TRACKING,0.00,10.61,RED,RED,3,0.8669,1,91.11
1777993940.0329,15.96,TRACKING,0.00,5.19,RED,RED,3,0.8359,1,91.30
1777993940.0785,28.51,TRACKING,0.00,6.76,RED,RED,3,0.8016,1,91.49
1777993940.1218,20.68,TRACKING,0.00,9.67,RED,RED,3,0.8335,1,91.67
1777993940.1855,39.14,TRACKING,0.00,10.57,RED,RED,3,0.8510,1,91.84
1777993940.2309,31.93,TRACKING,0.00,7.98,RED,RED,3,0.8359,1,92.00
1777993940.2882,35.84,TRACKING,0.00,16.08,RED,RED,4,0.8001,1,92.16
1777993940.3151,15.19,TRACKING,0.00,6.42,RED,RED,3,0.8242,1,92.31
1777993940.3681,20.16,TRACKING,0.00,7.02,RED,RED,3,0.8327,1,92.45
1777993940.4171,26.99,TRACKING,0.00,10.06,RED,RED,3,0.8001,1,92.59
1777993940.4748,29.22,TRACKING,0.00,6.15,RED,RED,3,0.8023,1,92.73
1777993940.5077,19.03,TRACKING,0.00,7.80,RED,RED,3,0.8335,1,92.86
1777993940.5633,27.29,TRACKING,0.00,7.33,RED,RED,3,0.8677,1,92.98
1777993940.6273,32.75,TRACKING,0.00,13.20,RED,RED,3,0.8009,1,93.10
1777993940.7195,47.28,TRACKING,0.00,25.83,RED,RED,3,0.8502,1,93.22
1777993940.7837,35.50,TRACKING,0.00,13.82,RED,RED,3,0.8486,1,93.33
1777993940.8358,27.42,TRACKING,0.00,7.51,RED,RED,3,0.8335,1,93.44
1777993940.8799,26.32,TRACKING,0.00,6.11,RED,RED,3,0.8494,1,93.55
1777993940.9251,32.71,TRACKING,0.00,8.12,RED,RED,3,0.8693,1,93.65
1777993940.9861,44.76,TRACKING,0.00,21.84,RED,RED,3,0.8016,1,93.75
1777993941.0318,31.53,TRACKING,0.00,13.00,RED,RED,3,0.8016,1,93.85
1777993941.0995,42.98,TRACKING,0.00,11.71,RED,RED,3,0.8534,1,93.94
1777993941.1441,27.06,TRACKING,0.00,4.86,RED,RED,3,0.7184,1,94.03
1777993941.1937,25.51,TRACKING,0.00,10.50,RED,RED,3,0.8478,1,94.12
1777993941.2348,25.42,TRACKING,0.00,8.52,RED,RED,3,0.8023,1,94.20
1777993941.2743,27.05,TRACKING,0.00,7.31,RED,RED,3,0.8023,1,94.29
1777993941.3051,18.74,TRACKING,0.00,6.59,RED,RED,3,0.8478,1,94.37
1777993941.4027,52.60,TRACKING,0.00,17.28,RED,RED,3,0.8023,1,94.44
1777993941.4449,34.34,TRACKING,0.00,14.88,RED,RED,3,0.8023,1,94.52
1777993941.5073,37.37,TRACKING,0.00,16.08,RED,RED,3,0.8089,1,94.59
1777993941.5378,16.08,TRACKING,0.00,4.37,RED,RED,3,0.7877,1,94.67
1777993941.5687,18.51,TRACKING,0.00,5.86,RED,RED,3,0.8582,1,94.74
1777993941.6044,20.88,TRACKING,0.00,6.50,RED,RED,3,0.8104,1,94.81
1777993941.6547,17.11,TRACKING,0.00,6.01,RED,RED,3,0.8367,1,94.87
1777993941.7210,26.12,TRACKING,0.00,9.52,RED,RED,3,0.8438,1,94.94
1777993941.7606,25.54,TRACKING,0.00,8.69,RED,RED,3,0.8438,1,95.00
1777993941.8052,18.46,TRACKING,0.00,4.62,RED,RED,3,0.8988,1,95.06
1777993941.8739,27.46,TRACKING,0.00,12.90,RED,RED,3,0.8775,1,95.12
1777993941.9197,27.42,TRACKING,0.00,13.13,RED,RED,3,0.8775,1,95.18
1777993942.0294,68.10,TRACKING,0.00,18.89,RED,RED,3,0.7967,1,95.24
1777993942.1252,56.40,TRACKING,0.00,26.46,RED,RED,3,0.8119,1,95.29
1777993942.1961,20.57,TRACKING,0.00,6.33,RED,RED,4,0.7113,1,95.35
1777993942.2414,22.86,TRACKING,0.00,8.99,RED,RED,4,0.4704,1,95.40
1777993942.2740,21.63,TRACKING,0.00,10.69,RED,RED,3,0.7848,1,95.45
1777993942.3049,17.52,TRACKING,0.00,4.98,RED,RED,3,0.7287,1,95.51
1777993942.3544,15.04,TRACKING,0.00,5.26,RED,RED,3,0.6871,1,95.56
1777993942.4002,15.15,TRACKING,0.00,6.80,RED,RED,3,0.4081,1,95.60
1777993942.4522,14.52,TRACKING,0.00,4.45,RED,RED,3,0.8614,1,95.65
1777993942.5188,28.96,TRACKING,0.00,8.31,RED,RED,3,0.8169,1,95.70
1777993942.6235,66.81,TRACKING,0.00,38.87,RED,RED,3,0.7921,1,95.74
1777993942.6851,39.36,TRACKING,0.00,10.80,RED,RED,3,0.8556,1,95.79
1777993942.7425,33.25,TRACKING,0.00,11.46,RED,RED,4,0.4621,1,95.83
1777993942.7810,17.79,TRACKING,0.00,7.09,RED,RED,3,0.8244,1,95.88
1777993942.8860,71.80,TRACKING,0.00,26.53,RED,RED,3,0.8629,1,95.92
1777993942.9491,30.23,TRACKING,0.00,14.59,RED,RED,3,0.9081,1,95.96
1777993943.0099,26.63,TRACKING,0.00,12.49,RED,RED,3,0.8924,1,96.00
1777993943.0691,37.54,TRACKING,0.00,20.21,RED,RED,3,0.9044,1,96.04
